id,month,day,hour,latitude,longitude,sea_surface_temp
12118805,8,4,11.83,27.97,135.68,28
7124801,6,4,1,27.63,-97.24,30
42709,6,2,0,59.7,-149.5,
16691080,9,21,16,-8.49,-124.61,26
17639543,5,19,5.83,25.9,-89.7,26
11607283,8,18,22.58,44.79,-87.31,
1801411,2,25,11,-16,55,28.9
13770174,8,23,8,61.2,1.6,
14341870,6,10,17,-17.43,49.85,26.1
1475430,1,15,23,38.03,-122.13,
17373169,6,11,20,7.99,-179.9,28
2519164,7,16,2,43.3,-79.8,
19923023,5,28,15,14.98,-38.02,24.9
10201869,10,6,5,46.7,-53.3,
19168546,12,5,22.58,-16.98,-115.03,24.8
18683434,2,20,1.83,-41.93,129.18,15.6
13299967,10,9,15,46.8,-91.8,
15281150,8,8,19.33,47.8,-122.8,
11216241,9,7,10.33,35.79,-162.32,25.2
13382099,8,12,7.33,-35.96,-137.3,15.7
10514632,4,16,6,39.1,145.9,19
765098,10,24,19.23,16.77,122.61,27.9
262917,3,9,13.67,-60.58,-68.77,4
17715259,11,21,15,59,-37.4,
4948552,4,29,10.87,45.36,-83.49,
2961679,9,30,6,-16.87,-90.57,19.9
14665669,9,20,20,-7.99,95,26.7
8826897,7,25,21.5,-32.3,85.59,16.5
1432604,9,14,7,40.77,-124.22,
19872518,5,26,17,27.5,-71.5,25.1
2417876,11,13,3.88,41.1,-72.7,12.5
1787807,8,24,0,30.35,-89.09,
19770492,1,23,5.83,33.8,-119,14.6
17716658,11,21,9.15,34.2,-119.4,15.9
815164,5,25,13.83,38,-76.3,
16721857,3,22,6,3.9,119.4,
5352414,12,11,19,14.98,89.93,27.9
13759713,10,23,0,27.3,-97.41,
10268660,4,8,12.15,44.66,-87.9,
18985978,1,30,1.1,34.4,-143.51,17.7
4072181,4,3,1.87,31.37,179.42,19
13282225,8,9,15.3,-9.21,171.11,29
15216410,10,6,18.33,-37.37,63.32,14.5
13007599,3,31,6,72.6,22.55,5.7
9813432,5,25,12,3.2,-1.2,28
7727813,8,22,18.33,39.2,-76.4,
14172351,6,5,3.37,36.9,-75.7,21.1
5459971,5,14,3.83,42,-86.6,13.5
5644627,11,20,18.03,33.91,-78.15,
8745891,6,23,5.58,42.49,3.17,20.2
5728779,2,22,4.17,-48.92,68.71,5.4
14717077,5,22,7.67,38.99,-173.97,13.8
13574858,4,17,22,54.2,12.1,7.8
17949719,10,29,12,-24.2,39.43,24.9
931160,5,29,18.53,41,-71.1,17.9
13956650,11,29,22,0.01,156.05,30.1
5541495,3,17,22,-4.97,156.01,29.4
17143352,5,4,23,32.5,-118,16.8
5178070,9,6,5,41.15,-23.31,21.3
19032494,4,1,13,57.9,0,
7208653,9,7,10.5,25.47,-35.01,27.2
1253166,5,8,6.68,-28.25,-4.87,21
19741091,9,22,13,33.66,-78.92,26.3
1357529,12,11,15,26.09,-80.11,
14434011,7,13,10,61.3,1.1,
3025488,5,1,20,24.55,-81.81,25.1
10945030,5,29,14,48.1,-122.7,9.4
5726987,1,22,20,42.88,-78.89,0.9
5519011,3,16,4,51.1,1.8,6.7
