,id,month,day,hour,latitude,longitude,sea_surface_temp
1072,17151955,1,4,5.0,34.8,-6.8,17.7
7596,16132436,1,4,5.0,-10.56,71.4,28.9
358,13129549,1,4,7.23,32.9,-117.4,15.0
2857,7125041,1,4,7.83,24.3,-162.0,19.248426150121063
1702,6109176,1,4,8.0,47.3,-57.3,3.3
2092,15152630,1,4,8.0,57.0,1.9,19.248426150121063
1629,10113383,1,4,8.5,33.48,170.23,19.4
1552,1132502,1,4,9.83,38.0,-130.0,19.248426150121063
5458,15135925,1,4,10.75,30.95,158.92,21.1
3293,12139744,1,4,11.5,29.36,-71.71,22.3
4137,14130303,1,4,12.88,36.21,-66.38,24.6
5885,4122093,1,4,14.0,-32.79,-21.15,22.4
6991,1114632,1,4,15.0,16.71,-18.67,21.4
2961,9115385,1,4,15.17,21.4,-157.7,23.8
2597,6137978,1,4,16.0,56.4,2.2,19.248426150121063
8003,11136514,1,4,16.0,-44.29,163.77,15.4
7316,19145221,1,4,18.0,0.02,-23.01,27.2
9815,2105938,1,4,19.97,33.2,-117.4,15.8
8184,10126409,1,4,20.0,38.72,-29.78,17.3
1438,8140772,1,4,21.0,-46.63,111.07,10.5
1579,12121163,1,4,21.0,50.34,-26.12,10.5
7324,18139701,1,4,21.6,32.51,131.75,18.6
8117,13146929,1,4,22.0,54.3,10.1,6.5
2044,3131701,1,4,23.0,38.87,-77.02,4.3
6835,18154189,1,4,23.0,34.16,-77.85,19.248426150121063
5656,5123159,1,4,23.13,32.5,-117.4,14.7
5540,19140339,1,4,23.67,18.3,-64.8,19.248426150121063
3704,11163728,1,5,0.0,1.96,156.0,28.7
3948,13180607,1,5,0.0,39.93,-75.14,3.4
2249,153099,1,5,1.0,46.1,-131.0,9.8
3826,19173692,1,5,2.0,-41.3,174.5,14.0
7250,16173568,1,5,2.0,29.73,-93.87,14.0
7721,5155990,1,5,3.5,5.5,54.19,26.7
4397,2150529,1,5,4.0,36.96,-76.43,19.248426150121063
9162,14173268,1,5,4.33,-43.67,-4.52,10.0
4799,14176107,1,5,8.83,33.7,-119.1,15.0
2129,137638,1,5,9.73,-8.98,-176.35,28.9
3450,7154158,1,5,10.0,-12.01,80.53,28.8
5789,5157529,1,5,10.0,36.89,-76.34,19.248426150121063
2880,13150843,1,5,11.5,74.32,-5.71,-0.2
53,19174238,1,5,11.68,30.57,-70.46,22.3
482,5152975,1,5,13.07,42.5,-70.6,7.5
7923,10161028,1,5,14.83,-47.98,-160.18,11.9
3489,11148761,1,5,15.4,-21.9,-139.64,27.2
9519,8161546,1,5,17.67,-45.52,110.35,11.2
3046,19180351,1,5,18.83,35.7,-121.9,19.248426150121063
7972,9144918,1,5,19.83,43.5,-70.2,19.248426150121063
8807,18167706,1,5,23.92,29.67,172.48,21.3
5241,13188042,1,6,0.0,12.3,-123.4,19.248426150121063
8171,7179317,1,6,0.77,28.96,-138.26,18.8
2890,9207047,1,6,2.0,56.01,-134.13,19.248426150121063
2881,5180352,1,6,3.92,15.47,125.78,28.1
1251,19213524,1,6,4.0,41.4,-71.0,19.248426150121063
6737,2173758,1,6,4.0,-38.14,140.84,17.8
6464,1176258,1,6,4.33,20.99,-60.9,26.0
2352,181613,1,6,9.0,-39.39,133.55,18.1
9862,19200049,1,6,9.0,26.0,-173.9,24.6
5908,10187539,1,6,9.27,-24.31,-156.48,25.6
4210,6176216,1,6,9.65,-45.62,-42.14,13.5
8326,2185486,1,6,11.0,43.0,3.5,13.8
9601,14200112,1,6,11.87,10.22,-37.82,26.2
1219,17223808,1,6,12.0,28.21,-177.36,22.9
3585,2181331,1,6,13.67,-28.2,-117.8,23.5
2777,14187570,1,6,14.0,-50.88,-93.37,7.9
1705,6196712,1,6,14.23,-41.09,108.37,14.1
5823,6192131,1,6,16.0,29.45,-91.34,10.0
8313,12191832,1,6,16.4,-47.88,-158.29,11.3
6839,11203176,1,6,17.77,31.73,-152.79,19.8
3484,6190957,1,6,20.0,44.6,-124.3,19.248426150121063
3502,9177847,1,6,20.62,-37.76,-29.91,18.7
1972,7185270,1,6,21.0,61.2,0.9,19.248426150121063
4084,4178990,1,6,21.18,33.0,-117.3,15.2
9011,19230870,1,7,0.23,-10.48,-161.73,29.0
8806,17253980,1,7,0.83,58.0,-150.0,19.248426150121063
2811,12216580,1,7,1.0,59.35,-53.4,2.2
9370,14236058,1,7,1.0,31.4,-80.9,15.2
6692,3228764,1,7,1.33,-57.15,-59.96,3.2
8564,18259095,1,7,2.0,8.06,165.13,28.7
8773,14236236,1,7,2.83,-30.33,-19.06,23.7
5066,6230689,1,7,4.0,32.8,-70.3,19.248426150121063
233,19243454,1,7,4.33,-14.6,-142.45,28.0
640,15252927,1,7,5.17,-41.29,-138.23,14.1
824,14241633,1,7,6.08,30.2,-88.1,19.248426150121063
8361,11241367,1,7,7.55,26.1,55.5,26.0
1307,11220070,1,7,8.0,42.38,-12.79,14.7
1387,3234037,1,7,8.0,28.42,-80.59,18.5
8433,10229076,1,7,8.55,30.09,167.27,21.2
3784,11214804,1,7,8.63,-17.4,-7.58,21.6
4354,17232677,1,7,11.0,59.1,-11.7,9.9
2670,8230544,1,7,12.0,-20.4,-40.1,19.248426150121063
1129,3219905,1,7,12.4,-1.44,147.95,30.0
6575,14234979,1,7,13.0,37.77,-122.3,11.1
9964,7223401,1,7,13.0,38.43,-76.39,19.248426150121063
9028,13244335,1,7,13.33,37.2,-76.8,19.248426150121063
8437,10236002,1,7,13.67,46.05,-23.64,19.248426150121063
2569,15222491,1,7,14.0,38.06,-122.26,19.248426150121063
6415,19232877,1,7,14.5,-48.19,36.07,5.6
